exam_category,exam_type,quiz_id,quiz_title,most_vote,correct,A,B,C,D,E,F,G,H,I
examtopics,CLF-01,1,회사는 AWS 클라우드에서 글로벌 마케팅 애플리케이션을 운영 할 계획입니다.응용 프로그램에는 사용자가 볼 수있는 비디오가 있습니다.회사는 모든 사용자가 낮은 대기 시간으로 이러한 비디오를 볼 수 있도록해야합니다. 회사 가이 요구 사항을 충족시키기 위해 어떤 AWS 서비스를 사용해야합니까?,D,D,AWS 자동 스케일링,Amazon Kinesis 비디오 스트림,탄성로드 밸런싱,아마존 클라우드 프론트,,,,,
examtopics,CLF-01,2,AWS가 잘 구축 된 프레임 워크의 어떤 기둥은 시스템이 인프라 또는 서비스 중단에서 복구 할 수있는 능력을 말하고 수요를 충족시키기 위해 컴퓨팅 리소스를 동적으로 인수합니까?,B,B,보안,신뢰할 수 있음,성능 효율성,비용 최적화,,,,,
examtopics,CLF-01,3,다음 중 AWS 클라우드로 마이그레이션하는 이점은 무엇입니까?(2 개 선택.),AC,AC,운영 복원력,Amazon.com에서 제품 할인,비즈니스 민첩성,비즈니스 우수성,직원 유지 증가,,,,
examtopics,CLF-01,4,회사는 물리적 온 프레미스 컴퓨팅 서버를 AWS Serverless Compute 서비스로 교체 할 계획입니다.회사는 마이그레이션 후 신속하게 고급 기술을 활용할 수 있기를 원합니다.이 계획은 어떤 AWS가 잘 구성된 프레임 워크의 기둥이 대표합니까?,B,B,보안,성능 효율성,운영 효율성,신뢰할 수 있음,,,,,
examtopics,CLF-01,5,대기업에는 여러 부서가 있습니다.각 부서에는 자체 AWS 계정이 있습니다.각 부서는 Amazon EC2 예약 인스턴스를 구매했습니다. 일부 부서는 구매 한 모든 예약 된 인스턴스를 사용하지 않으며 다른 부서에는 구매 한 것보다 더 많은 예약 된 인스턴스가 필요합니다. 회사는 모든 부서의 AWS 계정을 관리해야합니다.예약 된 인스턴스를 공유합니다. 회사는 이러한 요구 사항을 충족하기 위해 어떤 AWS 서비스 또는 도구를 사용해야합니까?,D,B,AWS 시스템 관리자,비용 탐색기,AWS 신뢰할 수있는 고문,AWS 조직,,,,,
examtopics,CLF-01,6,"AWS 글로벌 인프라의 어떤 구성 요소가 중복력, 네트워킹 및 연결성을 갖는 하나 이상의 개별 데이터 센터로 구성됩니까?",B,B,AWS 지역,가용성 구역,가장자리 위치,AWS 전초 기지,,,,,
examtopics,CLF-01,7,AWS Lambda를 사용하는 회사의 책임은 무엇입니까?(2 개 선택.),AD,AD,코드 내부의 보안,CPU 리소스 선택,운영 체제 패치,코드 작성 및 업데이트,기본 인프라의 보안,,,,
examtopics,CLF-01,8,Amazon EC2 인스턴스에 재해 복구 솔루션을 제공하는 AWS 서비스 또는 기능은 무엇입니까?(2 개 선택.),BC,BC,׀ • 2 ¡2 예약 된 인스턴스,EC2 Amazon Machine 이미지 (AMIS),Amazon Elastic Block Store (Amazon EBS) 스냅 샷,AWS 방패,Amazon Guardduty,,,,
examtopics,CLF-01,9,A company is migrating to the AWS Cloud instead of running its infrastructure on premises.Which of the following are advantages of this migration? (Choose two.),BC,BD,Elimination of the need to perform security auditing,Increased global reach and agility,Ability to deploy globally in minutes,Elimination of the cost of IT staff members,Redundancy by default for all compute services,,,,
examtopics,CLF-01,10,"A user is comparing purchase options for an application that runs on Amazon EC2 and Amazon RDS. The application cannot sustain any interruption. The application experiences a predictable amount of usage, including some seasonal spikes that last only a few weeks at a time. It is not possible to modify the application.Which purchase option meets these requirements MOST cost-effectively?",C,B,Review the AWS Marketplace and buy Partial Upfront Reserved Instances to cover the predicted and seasonal load.,Buy Reserved Instances for the predicted amount of usage throughout the year. Allow any seasonal usage to run on Spot Instances.,Buy Reserved Instances for the predicted amount of usage throughout the year. Allow any seasonal usage to run at an On-Demand rate.,Buy Reserved Instances to cover all potential usage that results from the seasonal usage.,,,,,
