exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,en_G,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,ko_G,subject,choice_count,ko_F
udemy,CLF-01,1,"The engineering team at a data analytics company has observed that its flagship application functions at its peak performance when the underlying EC2 instances have a CPU utilization of about 50%. The application is built on a fleet of EC2 instances managed under an Auto Scaling group. The workflow requests are handled by an internal Application Load Balancer that routes the requests to the instances.As a solutions architect, what would you recommend so that the application runs near its peak performance state?",C,C,Configure the Auto Scaling group to use simple scaling policy and set the CPU utilization as the target metric with a target value of 50%,Configure the Auto Scaling group to use step scaling policy and set the CPU utilization as the target metric with a target value of 50%,Configure the Auto Scaling group to use target tracking policy and set the CPU utilization as the target metric with a target value of 50%,Configure the Auto Scaling group to use a Cloudwatch alarm triggered on a CPU utilization threshold of 50%,,,,데이터 분석 회사의 엔지니어링 팀은 기본 EC2 인스턴스의 CPU 사용률이 약 50%일 때 주력 애플리케이션이 최고 성능으로 작동하는 것을 관찰했습니다. 이 애플리케이션은 Auto Scaling 그룹에서 관리되는 EC2 인스턴스 플릿을 기반으로 구축됩니다. 워크플로 요청은 요청을 인스턴스로 라우팅하는 내부 Application Load Balancer에서 처리합니다.솔루션 아키텍트로서 애플리케이션이 최고 성능 상태에 가깝게 실행되도록 권장하는 것은 무엇입니까?,단순 조정 정책을 사용하도록 Auto Scaling 그룹을 구성하고 목표 값이 50%인 대상 메트릭으로 CPU 사용률을 설정합니다.,단계 조정 정책을 사용하도록 Auto Scaling 그룹을 구성하고 목표 값이 50%인 목표 지표로 CPU 사용률을 설정합니다.,대상 추적 정책을 사용하도록 Auto Scaling 그룹을 구성하고 목표 값이 50%인 대상 메트릭으로 CPU 사용률을 설정합니다.,CPU 사용률 임계값 50%에서 트리거되는 Cloudwatch 경보를 사용하도록 Auto Scaling 그룹 구성,,,0,,
udemy,CLF-01,2,An Electronic Design Automation (EDA) application produces massive volumes of data that can be divided into two categories. The 'hot data' needs to be both processed and stored quickly in a parallel and distributed fashion. The 'cold data' needs to be kept for reference with quick access for reads and updates at a low cost.Which of the following AWS services is BEST suited to accelerate the aforementioned chip design process?,A,A,Amazon FSx for Lustre,Amazon EMR,Amazon FSx for Windows File Server,AWS Glue,,,,전자 설계 자동화(EDA) 애플리케이션은 두 가지 범주로 나눌 수 있는 방대한 양의 데이터를 생성합니다. '핫 데이터'는 병렬 및 분산 방식으로 빠르게 처리되고 저장되어야 합니다. '콜드 데이터'는 저렴한 비용으로 읽기 및 업데이트를 위한 빠른 액세스와 함께 참조용으로 보관해야 합니다.다음 중 앞서 언급한 칩 설계 프로세스를 가속화하는 데 가장 적합한 AWS 서비스는 무엇입니까?,Lustre용 Amazon FSx,아마존 EMR,Windows 파일 서버용 Amazon FSx,AWS 글루,,,0,,
udemy,CLF-01,3,A news network uses Amazon S3 to aggregate the raw video footage from its reporting teams across the US. The news network has recently expanded into new geographies in Europe and Asia. The technical teams at the overseas branch offices have reported huge delays in uploading large video files to the destination S3 bucket.Which of the following are the MOST cost-effective options to improve the file upload speed into S3? (Select two),CD,CD,Use AWS Global Accelerator for faster file uploads into the destination S3 bucket,Create multiple AWS direct connect connections between the AWS Cloud and branch offices in Europe and Asia. Use the direct connect connections for faster file uploads into S3,Use multipart uploads for faster file uploads into the destination S3 bucket,Use Amazon S3 Transfer Acceleration to enable faster file uploads into the destination S3 bucket,Create multiple site-to-site VPN connections between the AWS Cloud and branch offices in Europe and Asia. Use these VPN connections for faster file uploads into S3,,,뉴스 네트워크는 Amazon S3를 사용하여 미국 전역의 보도 팀에서 원시 비디오 영상을 집계합니다. 뉴스 네트워크는 최근 유럽과 아시아의 새로운 지역으로 확장되었습니다. 해외 지사의 기술 팀은 대용량 비디오 파일을 대상 S3 버킷에 업로드하는 데 엄청난 지연이 발생했다고 보고했습니다.다음 중 S3로의 파일 업로드 속도를 개선하기 위한 가장 비용 효율적인 옵션은 무엇입니까? (2개 선택),대상 S3 버킷에 더 빠르게 파일을 업로드하려면 AWS Global Accelerator를 사용하십시오.,AWS 클라우드와 유럽 및 아시아 지사 간에 여러 AWS Direct Connect 연결을 만듭니다. S3에 더 빠른 파일 업로드를 위해 직접 연결 연결 사용,대상 S3 버킷에 더 빠르게 파일을 업로드하려면 멀티파트 업로드를 사용하십시오.,Amazon S3 Transfer Acceleration을 사용하여 대상 S3 버킷에 더 빠르게 파일을 업로드할 수 있습니다.,AWS 클라우드와 유럽 및 아시아 지사 간에 여러 사이트 간 VPN 연결을 생성합니다. S3에 더 빠르게 파일을 업로드하려면 이 VPN 연결을 사용하십시오.,,0,,
udemy,CLF-01,4,"A gaming company is developing a mobile game that streams score updates to a backend processor and then publishes results on a leaderboard. The company has hired you as an AWS Certified Solutions Architect Associate to design a solution that can handle major traffic spikes, process the mobile game updates in the order of receipt, and store the processed updates in a highly available database. The company wants to minimize the management overhead required to maintain the solution.Which of the following will you recommend to meet these requirements?",A,A,Push score updates to Kinesis Data Streams which uses a Lambda function to process these updates and then store these processed updates in DynamoDB,Push score updates to Kinesis Data Streams which uses a fleet of EC2 instances (with Auto Scaling) to process the updates in Kinesis Data Streams and then store these processed updates in DynamoDB,"Push score updates to an SNS topic, subscribe a Lambda function to this SNS topic to process the updates and then store these processed updates in a SQL database running on Amazon EC2",Push score updates to an SQS queue which uses a fleet of EC2 instances (with Auto Scaling) to process these updates in the SQS queue and then store these processed updates in an RDS MySQL database,,,,"게임 회사는 점수 업데이트를 백엔드 프로세서로 스트리밍한 다음 순위표에 결과를 게시하는 모바일 게임을 개발하고 있습니다. 이 회사는 주요 트래픽 급증을 처리하고, 수신 순서대로 모바일 게임 업데이트를 처리하고, 처리된 업데이트를 고가용성 데이터베이스에 저장할 수 있는 솔루션을 설계하기 위해 귀하를 AWS 공인 솔루션스 아키텍트 어소시에이트로 고용했습니다. 회사는 솔루션을 유지 관리하는 데 필요한 관리 오버헤드를 최소화하려고 합니다.이러한 요구 사항을 충족하기 위해 다음 중 무엇을 권장하시겠습니까?",Lambda 함수를 사용하여 이러한 업데이트를 처리한 다음 처리된 업데이트를 DynamoDB에 저장하는 Kinesis Data Streams로 점수 업데이트를 푸시합니다.,Kinesis Data Streams에서 업데이트를 처리하기 위해 EC2 인스턴스(Auto Scaling 포함) 플릿을 사용하는 Kinesis Data Streams로 점수 업데이트를 푸시한 다음 이러한 처리된 업데이트를 DynamoDB에 저장합니다.,점수 업데이트를 SNS 주제로 푸시하고 이 SNS 주제에 Lambda 함수를 구독하여 업데이트를 처리한 다음 이러한 처리된 업데이트를 Amazon EC2에서 실행되는 SQL 데이터베이스에 저장합니다.,EC2 인스턴스(Auto Scaling 포함) 플릿을 사용하여 SQS 대기열에서 이러한 업데이트를 처리한 다음 처리된 업데이트를 RDS MySQL 데이터베이스에 저장하는 SQS 대기열에 점수 업데이트를 푸시합니다.,,,0,,
udemy,CLF-01,5,"A media company runs a photo-sharing web application that is accessed across three different countries. The application is deployed on several Amazon EC2 instances running behind an Application Load Balancer. With new government regulations, the company has been asked to block access from two countries and allow access only from the home country of the company.Which configuration should be used to meet this changed requirement?",D,D,Configure the security group on the Application Load Balancer,Configure the security group for the EC2 instances,Use Geo Restriction feature of Amazon CloudFront in a VPC,Configure AWS WAF on the Application Load Balancer in a VPC,,,,한 미디어 회사는 서로 다른 3개국에서 액세스할 수 있는 사진 공유 웹 애플리케이션을 운영합니다. 애플리케이션은 Application Load Balancer 뒤에서 실행되는 여러 Amazon EC2 인스턴스에 배포됩니다. 새로운 정부 규정에 따라 회사는 두 국가의 액세스를 차단하고 회사 본국에서만 액세스를 허용하도록 요청받았습니다.이 변경된 요구 사항을 충족하려면 어떤 구성을 사용해야 합니까?,Application Load Balancer에서 보안 그룹 구성,EC2 인스턴스에 대한 보안 그룹 구성,VPC에서 Amazon CloudFront의 지리적 제한 기능 사용,VPC의 Application Load Balancer에서 AWS WAF 구성,,,0,,
udemy,CLF-01,6,"A technology blogger wants to write a review on the comparative pricing for various storage types available on AWS Cloud. The blogger has created a test file of size 1GB with some random data. Next he copies this test file into AWS S3 Standard storage class, provisions an EBS volume (General Purpose SSD (gp2)) with 100GB of provisioned storage and copies the test file into the EBS volume, and lastly copies the test file into an EFS Standard Storage filesystem. At the end of the month, he analyses the bill for costs incurred on the respective storage types for the test file.What is the correct order of the storage charges incurred for the test file on these three storage types?",D,D,Cost of test file storage on S3 Standard < Cost of test file storage on EBS < Cost of test file storage on EFS,Cost of test file storage on EBS < Cost of test file storage on S3 Standard < Cost of test file storage on EFS,Cost of test file storage on EFS < Cost of test file storage on S3 Standard < Cost of test file storage on EBS,Cost of test file storage on S3 Standard < Cost of test file storage on EFS < Cost of test file storage on EBS,,,,한 기술 블로거가 AWS 클라우드에서 사용할 수 있는 다양한 스토리지 유형의 가격 비교에 대한 리뷰를 작성하려고 합니다. 블로거는 임의의 데이터로 1GB 크기의 테스트 파일을 만들었습니다. 다음으로 그는 이 테스트 파일을 AWS S3 Standard 스토리지 클래스에 복사하고 100GB의 프로비저닝된 스토리지로 EBS 볼륨(범용 SSD(gp2))을 프로비저닝하고 테스트 파일을 EBS 볼륨에 복사하고 마지막으로 테스트 파일을 EFS Standard에 복사합니다. 스토리지 파일 시스템. 월말에 그는 테스트 파일의 각 스토리지 유형에서 발생한 비용에 대한 청구서를 분석합니다.이 세 가지 스토리지 유형에서 테스트 파일에 대해 발생하는 스토리지 요금의 올바른 순서는 무엇입니까?,S3 Standard의 테스트 파일 스토리지 비용 < EBS의 테스트 파일 스토리지 비용 < EFS의 테스트 파일 스토리지 비용,EBS의 테스트 파일 스토리지 비용 < S3 Standard의 테스트 파일 스토리지 비용 < EFS의 테스트 파일 스토리지 비용,EFS의 테스트 파일 스토리지 비용 < S3 Standard의 테스트 파일 스토리지 비용 < EBS의 테스트 파일 스토리지 비용,S3 Standard의 테스트 파일 스토리지 비용 < EFS의 테스트 파일 스토리지 비용 < EBS의 테스트 파일 스토리지 비용,,,0,,
udemy,CLF-01,7,"A financial services company recently launched an initiative to improve the security of its AWS resources and it had enabled AWS Shield Advanced across multiple AWS accounts owned by the company. Upon analysis, the company has found that the costs incurred are much higher than expected.Which of the following would you attribute as the underlying reason for the unexpectedly high costs for AWS Shield Advanced service?",D,D,"AWS Shield Advanced is being used for custom servers, that are not part of AWS Cloud, thereby resulting in increased costs","AWS Shield Advanced also covers AWS Shield Standard plan, thereby resulting in increased costs",Savings Plans has not been enabled for the AWS Shield Advanced service across all the AWS accounts,Consolidated billing has not been enabled. All the AWS accounts should fall under a single consolidated billing for the monthly fee to be charged only once,,,,금융 서비스 회사는 최근 AWS 리소스의 보안을 개선하기 위한 이니셔티브를 시작했으며 회사가 소유한 여러 AWS 계정에서 AWS Shield Advanced를 활성화했습니다. 회사는 분석 결과 발생 비용이 예상보다 훨씬 높다는 사실을 발견했습니다.다음 중 AWS Shield Advanced 서비스에 대해 예기치 않게 높은 비용이 발생한 근본적인 이유는 무엇이라고 생각하십니까?,AWS Shield Advanced는 AWS 클라우드의 일부가 아닌 사용자 지정 서버에 사용되므로 비용이 증가합니다.,AWS Shield Advanced는 AWS Shield Standard 플랜도 포함하므로 비용이 증가합니다.,모든 AWS 계정에서 AWS Shield Advanced 서비스에 대해 Savings Plans가 활성화되지 않았습니다.,통합 결제가 활성화되지 않았습니다. 모든 AWS 계정은 월 요금이 한 번만 청구되도록 단일 통합 결제에 속해야 합니다.,,,0,,
udemy,CLF-01,8,"The engineering team at an e-commerce company wants to establish a dedicated, encrypted, low latency, and high throughput connection between its data center and AWS Cloud. The engineering team has set aside sufficient time to account for the operational overhead of establishing this connection.As a solutions architect, which of the following solutions would you recommend to the company?",B,B,Use VPC transit gateway to establish a connection between the data center and AWS Cloud,Use AWS Direct Connect plus VPN to establish a connection between the data center and AWS Cloud,Use site-to-site VPN to establish a connection between the data center and AWS Cloud,Use AWS Direct Connect to establish a connection between the data center and AWS Cloud,,,,전자 상거래 회사의 엔지니어링 팀은 데이터 센터와 AWS 클라우드 간에 지연 시간이 짧고 처리량이 높은 암호화된 전용 연결을 설정하려고 합니다. 엔지니어링 팀은 이 연결 설정의 운영 오버헤드를 설명하기 위해 충분한 시간을 할당했습니다.솔루션 아키텍트로서 다음 중 회사에 추천할 솔루션은 무엇입니까?,VPC 전송 게이트웨이를 사용하여 데이터 센터와 AWS 클라우드 간의 연결 설정,AWS Direct Connect와 VPN을 사용하여 데이터 센터와 AWS 클라우드 간의 연결 설정,사이트 간 VPN을 사용하여 데이터 센터와 AWS 클라우드 간의 연결 설정,AWS Direct Connect를 사용하여 데이터 센터와 AWS 클라우드 간의 연결 설정,,,0,,
udemy,CLF-01,9,"A retail company's dynamic website is hosted using on-premises servers in its data center in the United States. The company is launching its website in Asia, and it wants to optimize the website loading times for new users in Asia. The website's backend must remain in the United States. The website is being launched in a few days, and an immediate solution is needed.What would you recommend?",C,C,Migrate the website to Amazon S3. Use cross-Region replication between AWS Regions in the US and Asia,Leverage a Route 53 geo-proximity routing policy pointing to on-premises servers,Use Amazon CloudFront with a custom origin pointing to the on-premises servers,Use Amazon CloudFront with a custom origin pointing to the DNS record of the website on Route 53,,,,소매 회사의 동적 웹 사이트는 미국 데이터 센터의 온프레미스 서버를 사용하여 호스팅됩니다. 이 회사는 아시아에서 웹 사이트를 시작하고 있으며 아시아의 신규 사용자를 위해 웹 사이트 로드 시간을 최적화하려고 합니다. 웹사이트의 백엔드는 미국에 남아 있어야 합니다. 웹 사이트는 며칠 내에 시작되며 즉각적인 솔루션이 필요합니다.무엇을 추천하나요?,웹 사이트를 Amazon S3로 마이그레이션합니다. 미국과 아시아의 AWS 리전 간 교차 리전 복제 사용,온프레미스 서버를 가리키는 Route 53 지리적 근접성 라우팅 정책 활용,온프레미스 서버를 가리키는 사용자 지정 오리진과 함께 Amazon CloudFront 사용,Route 53에 있는 웹 사이트의 DNS 레코드를 가리키는 사용자 지정 오리진과 함께 Amazon CloudFront 사용,,,0,,
udemy,CLF-01,10,"The IT department at a consulting firm is conducting a training workshop for new developers. As part of an evaluation exercise on Amazon S3, the new developers were asked to identify the invalid storage class lifecycle transitions for objects stored on S3.Can you spot the INVALID lifecycle transitions from the options below? (Select two)",CE,CE,S3 Standard => S3 Intelligent-Tiering,S3 Standard-IA => S3 Intelligent-Tiering,S3 One Zone-IA => S3 Standard-IA,S3 Standard-IA => S3 One Zone-IA,S3 Intelligent-Tiering => S3 Standard,,,컨설팅 회사의 IT 부서에서 신입 개발자를 위한 교육 워크숍을 진행하고 있습니다. Amazon S3에 대한 평가 연습의 일환으로 새로운 개발자는 S3에 저장된 객체에 대한 유효하지 않은 스토리지 클래스 수명 주기 전환을 식별하라는 요청을 받았습니다.아래 옵션에서 잘못된 수명 주기 전환을 찾을 수 있습니까? (2개 선택),S3 Standard => S3 Intelligent-Tiering,S3 Standard-IA => S3 Intelligent-Tiering,S3 One Zone-IA => S3 스탠다드-IA,S3 Standard-IA => S3 One Zone-IA,S3 Intelligent-Tiering => S3 Standard,,0,,
udemy,CLF-01,11,A leading video streaming service delivers billions of hours of content from Amazon S3 to customers around the world. Amazon S3 also serves as the data lake for its big data analytics solution. The data lake has a staging zone where intermediary query results are kept only for 24 hours. These results are also heavily referenced by other parts of the analytics pipeline.Which of the following is the MOST cost-effective strategy for storing this intermediary query data?,A,A,Store the intermediary query results in S3 Standard storage class,Store the intermediary query results in S3 Standard-Infrequent Access storage class,Store the intermediary query results in S3 One Zone-Infrequent Access storage class,Store the intermediary query results in S3 Glacier Instant Retrieval storage class,,,,선도적인 비디오 스트리밍 서비스는 Amazon S3에서 전 세계 고객에게 수십억 시간 분량의 콘텐츠를 제공합니다. Amazon S3는 빅 데이터 분석 솔루션의 데이터 레이크 역할도 합니다. 데이터 레이크에는 중간 쿼리 결과가 24시간 동안만 보관되는 스테이징 영역이 있습니다. 이러한 결과는 분석 파이프라인의 다른 부분에서도 많이 참조됩니다.다음 중 이 중간 쿼리 데이터를 저장하기 위한 가장 비용 효율적인 전략은 무엇입니까?,중간 쿼리 결과를 S3 Standard 스토리지 클래스에 저장,중간 쿼리 결과를 S3 Standard-Infrequent Access 스토리지 클래스에 저장,중간 쿼리 결과를 S3 One Zone-Infrequent Access 스토리지 클래스에 저장,중간 쿼리 결과를 S3 Glacier Instant Retrieval 스토리지 클래스에 저장,,,0,,
udemy,CLF-01,12,A gaming company is looking at improving the availability and performance of its global flagship application which utilizes UDP protocol and needs to support fast regional failover in case an AWS Region goes down. The company wants to continue using its own custom DNS service.Which of the following AWS services represents the best solution for this use-case?,D,D,Amazon Route 53,AWS Elastic Load Balancing (ELB),Amazon CloudFront,AWS Global Accelerator,,,,한 게임 회사는 UDP 프로토콜을 활용하고 AWS 리전이 다운될 경우 빠른 지역 장애 조치를 지원해야 하는 글로벌 플래그십 애플리케이션의 가용성과 성능을 개선하는 방법을 모색하고 있습니다. 회사는 자체 사용자 지정 DNS 서비스를 계속 사용하려고 합니다.다음 AWS 서비스 중 이 사용 사례에 가장 적합한 솔루션은 무엇입니까?,아마존 루트 53,AWS 엘라스틱 로드 밸런싱(ELB),아마존 클라우드프론트,AWS 글로벌 액셀러레이터,,,0,,
udemy,CLF-01,13,"A company uses DynamoDB as a data store for various kinds of customer data, such as user profiles, user events, clicks, and visited links. Some of these use-cases require a high request rate (millions of requests per second), low predictable latency, and reliability. The company now wants to add a caching layer to support high read volumes.As a solutions architect, which of the following AWS services would you recommend as a caching layer for this use-case? (Select two)",CD,CD,Elasticsearch,RDS,DynamoDB Accelerator (DAX),ElastiCache,Redshift,,,"회사는 DynamoDB를 사용자 프로필, 사용자 이벤트, 클릭 및 방문한 링크와 같은 다양한 종류의 고객 데이터에 대한 데이터 저장소로 사용합니다. 이러한 사용 사례 중 일부는 높은 요청 속도(초당 수백만 건의 요청), 예측 가능한 낮은 대기 시간 및 안정성이 필요합니다. 회사는 이제 높은 읽기 볼륨을 지원하기 위해 캐싱 계층을 추가하려고 합니다.솔루션 아키텍트로서 다음 중 이 사용 사례의 캐싱 계층으로 추천할 AWS 서비스는 무엇입니까? (2개 선택)",엘라스틱서치,RDS,DynamoDB 액셀러레이터(DAX),ElastiCache,적색편이,,0,,
udemy,CLF-01,14,"The flagship application for a gaming company connects to an Amazon Aurora database and the entire technology stack is currently deployed in the United States. Now, the company has plans to expand to Europe and Asia for its operations. It needs the games table to be accessible globally but needs the users and games_played tables to be regional only.How would you implement this with minimal application refactoring?",C,C,Use an Amazon Aurora Global Database for the games table and use DynamoDB tables for the users and games_played tables,Use a DynamoDB global table for the games table and use Amazon Aurora for the users and games_played tables,Use an Amazon Aurora Global Database for the games table and use Amazon Aurora for the users and games_played tables,Use a DynamoDB global table for the games table and use DynamoDB tables for the users and games_played tables,,,,게임 회사의 주력 애플리케이션은 Amazon Aurora 데이터베이스에 연결되며 전체 기술 스택은 현재 미국에 배포되어 있습니다. 이제 회사는 유럽과 아시아로 사업을 확장할 계획입니다. games전역적으로 액세스할 수 있는 테이블이 필요 하지만 지역 전용 테이블이 users필요 합니다.games_played최소한의 애플리케이션 리팩토링으로 어떻게 구현하시겠습니까?,테이블에는 Amazon Aurora 글로벌 데이터베이스를 사용하고 games및 테이블에는 DynamoDB 테이블을 사용 users하십시오 games_played.,테이블에는 DynamoDB 전역 테이블을 사용하고 및 테이블 games에는 Amazon Aurora를 사용하십시오 .usersgames_played,테이블에는 Amazon Aurora 글로벌 데이터베이스를 사용하고 및 테이블 games에는 Amazon Aurora를 사용하십시오.usersgames_played,테이블에 DynamoDB 전역 테이블을 사용하고 및 테이블 games에 DynamoDB 테이블을 사용합니다.usersgames_played,,,0,,
udemy,CLF-01,15,A major bank is using SQS to migrate several core banking applications to the cloud to ensure high availability and cost efficiency while simplifying administrative complexity and overhead. The development team at the bank expects a peak rate of about 1000 messages per second to be processed via SQS. It is important that the messages are processed in order.Which of the following options can be used to implement this system?,A,A,Use Amazon SQS FIFO queue in batch mode of 4 messages per operation to process the messages at the peak rate,Use Amazon SQS FIFO queue to process the messages,Use Amazon SQS FIFO queue in batch mode of 2 messages per operation to process the messages at the peak rate,Use Amazon SQS standard queue to process the messages,,,,주요 은행은 관리 복잡성과 오버헤드를 단순화하는 동시에 고가용성과 비용 효율성을 보장하기 위해 SQS를 사용하여 여러 핵심 뱅킹 애플리케이션을 클라우드로 마이그레이션하고 있습니다. 은행의 개발 팀은 SQS를 통해 초당 약 1000개의 메시지가 처리될 것으로 예상합니다. 메시지가 순서대로 처리되는 것이 중요합니다.다음 중 이 시스템을 구현하는 데 사용할 수 있는 옵션은 무엇입니까?,작업당 4개 메시지의 배치 모드에서 Amazon SQS FIFO 대기열을 사용하여 최고 속도로 메시지 처리,Amazon SQS FIFO 대기열을 사용하여 메시지 처리,작업당 2개 메시지의 배치 모드에서 Amazon SQS FIFO 대기열을 사용하여 최고 속도로 메시지 처리,Amazon SQS 표준 대기열을 사용하여 메시지 처리,,,0,,
udemy,CLF-01,16,An ivy-league university is assisting NASA to find potential landing sites for exploration vehicles of unmanned missions to our neighboring planets. The university uses High Performance Computing (HPC) driven application architecture to identify these landing sites.Which of the following EC2 instance topologies should this application be deployed on?,D,D,The EC2 instances should be deployed in a partition placement group so that distributed workloads can be handled effectively,The EC2 instances should be deployed in a spread placement group so that there are no correlated failures,The EC2 instances should be deployed in an Auto Scaling group so that application meets high availability requirements,The EC2 instances should be deployed in a cluster placement group so that the underlying workload can benefit from low network latency and high network throughput,,,,아이비 리그 대학은 NASA가 이웃 행성에 무인 임무를 수행할 탐사 차량을 위한 잠재적 착륙 지점을 찾도록 지원하고 있습니다. 이 대학은 HPC(고성능 컴퓨팅) 기반 애플리케이션 아키텍처를 사용하여 이러한 랜딩 사이트를 식별합니다.다음 중 이 애플리케이션을 배포해야 하는 EC2 인스턴스 토폴로지는 무엇입니까?,분산된 워크로드를 효과적으로 처리할 수 있도록 EC2 인스턴스를 파티션 배치 그룹에 배포해야 합니다.,상관 장애가 발생하지 않도록 EC2 인스턴스를 분산 배치 그룹에 배포해야 합니다.,애플리케이션이 고가용성 요구 사항을 충족하도록 EC2 인스턴스를 Auto Scaling 그룹에 배포해야 합니다.,EC2 인스턴스는 기본 워크로드가 낮은 네트워크 지연 시간과 높은 네트워크 처리량의 이점을 누릴 수 있도록 클러스터 배치 그룹에 배포되어야 합니다.,,,0,,
