exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count
udemy,CLF-01,1,"A startup wants to set up its IT infrastructure on AWS Cloud. The CTO would like to get an estimate of the monthly AWS bill based on the AWS services that the startup wants to use. As a Cloud Practitioner, which AWS service would you suggest for this use-case?",C,C,AWS Budgets,AWS Cost & Usage Report (AWS CUR),AWS Pricing Calculator,AWS Cost Explorer,,,"스타트 업은 AWS 클라우드에서 IT 인프라를 설정하려고합니다. CTO는 스타트 업이 사용하려는 AWS 서비스를 기반으로 월간 AWS 청구서를 추정하고자합니다. 클라우드 실무자로서,이 사용 사례에 대해 어떤 AWS 서비스를 제안 하시겠습니까?",AWS 예산,AWS 비용 및 사용 보고서 (AWS CUR),AWS 가격 계산기,AWS 비용 탐색기,,,
udemy,CLF-01,2,Which of the following statements are CORRECT regarding the AWS VPC service? (Select two),BE,BE,A Network Address Translation instance (NAT instance) is managed by AWS,A Security Group can have allow rules only,A Security Group can have both allow and deny rules,A network access control list (network ACL) can have allow rules only,A Network Address Translation gateway (NAT gateway) is managed by AWS,,다음 중 AWS VPC 서비스와 관련하여 올바른 진술은 무엇입니까? (선택),네트워크 주소 변환 인스턴스 (NAT 인스턴스)는 AWS에서 관리합니다.,보안 그룹은 규칙 만 허용 할 수 있습니다,보안 그룹은 규칙을 허용하고 거부 할 수 있습니다.,네트워크 액세스 제어 목록 (네트워크 ACL)은 규칙 만 허용 할 수 있습니다.,네트워크 주소 변환 게이트웨이 (NAT 게이트웨이)는 AWS가 관리합니다.,,
udemy,CLF-01,3,Which of the following is a benefit of using AWS managed services such as Amazon Relational Database Service (Amazon RDS)?,A,A,The performance of AWS managed Amazon Relational Database Service (Amazon RDS) instance is better than a customer-managed database instance,The customer needs to patch the underlying OS,There is no need to optimize database instance type and size,The customer needs to manage database backups,,,다음 중 Amazon Relational Database Service (Amazon RDS)와 같은 AWS 관리 서비스를 사용하는 이점은 무엇입니까?,AWS Managed Amazon Relational Database Service (Amazon RDS) 인스턴스의 성능은 고객 관리 데이터베이스 인스턴스보다 낫습니다.,고객은 기본 OS를 패치해야합니다,데이터베이스 인스턴스 유형 및 크기를 최적화 할 필요가 없습니다.,고객은 데이터베이스 백업을 관리해야합니다,,,
udemy,CLF-01,4,Which of the following AWS services support VPC Endpoint Gateway for a private connection from a VPC? (Select two),BC,BC,Amazon Simple Queue Service (SQS),Amazon DynamoDB,Amazon Simple Storage Service (Amazon S3),Amazon Elastic Compute Cloud (Amazon EC2),Amazon Simple Notification Service (SNS),,다음 AWS 서비스 중 VPC의 개인 연결을 위해 VPC 엔드 포인트 게이트웨이를 지원하는 것은 무엇입니까? (선택),Amazon Simple Queue Service (SQS),아마존 다이나 모드,Amazon Simple Storage Service (Amazon S3),Amazon Elastic Compute Cloud (Amazon EC2),Amazon Simple Notification Service (SNS),,
udemy,CLF-01,5,Which of the following AWS Support plans provide access to only core checks from the AWS Trusted Advisor Best Practice Checks? (Select two),AD,AD,AWS Developer Support,AWS Enterprise On-Ramp Support,AWS Enterprise Support,AWS Basic Support,AWS Business Support,,,,,,,,,
udemy,CLF-01,6,What are the advantages that AWS Cloud offers over a traditional on-premises IT infrastructure? (Select two),CE,CE,Increase speed and agility by keeping servers and other required resources ready before time in your data centers,Provide lower latency to applications by maintaining servers on-premises,Eliminate guessing on your infrastructure capacity needs,"Make a capacity decision before deploying an application, to reduce costs",Trade capital expense for variable expense,,,,,,,,,
udemy,CLF-01,7,A web application stores all of its data on Amazon S3 buckets. A client has mandated that data be encrypted before sending it to Amazon S3.Which of the following is the right technique for encrypting data as needed by the customer?,D,D,Enable server-side encryption with Amazon S3 Managed Keys (SSE-S3),Enable server-side encryption with AWS Key Management Service (AWS KMS) keys (SSE-KMS),Encryption is enabled by default for all the objects written to Amazon S3. Additional configuration is not required,Enable client-side encryption using AWS encryption SDK,,,,,,,,,,
udemy,CLF-01,8,Which AWS Service can be used to mitigate a Distributed Denial of Service (DDoS) attack?,B,B,AWS Key Management Service (AWS KMS),AWS Shield,Amazon CloudWatch,AWS Systems Manager,,,,,,,,,,
udemy,CLF-01,9,Which AWS service will help you receive alerts when the reservation utilization falls below the defined threshold?,A,A,AWS Budgets,AWS CloudTrail,AWS Trusted Advisor,AWS Pricing Calculator,,,,,,,,,,
udemy,CLF-01,10,"According to the AWS Shared Responsibility Model, which of the following are responsibilities of AWS? (Select two)",BE,BE,Enabling Multi Factor Authentication on AWS accounts in your organization,Replacing faulty hardware of Amazon EC2 instances,Creating S3 bucket policies for appropriate user access,Creating IAM role for accessing Amazon EC2 instances,Maintaining Amazon S3 data in different availability zones to keep it durable,,,,,,,,,
udemy,CLF-01,11,"Which of the following is an INCORRECT statement about Scaling, a design principle of Reliability pillar of the AWS Well-Architected Framework?",B,B,Fault tolerance is achieved by a scale out operation,Fault tolerance is achieved by a scale up operation,"A scale up operation implies you scale by adding more power (CPU, RAM) to your existing machine/node",A scale out operation implies you scale by adding more instances to your existing pool of resources,,,,,,,,,,
udemy,CLF-01,12,"Compared to the on-demand instance prices, what is the highest possible discount offered for spot instances?",D,D,10,50,75,90,,,,,,,,,,
udemy,CLF-01,13,"A multi-national company has just moved its infrastructure from its on-premises data center to AWS Cloud. As part of the shared responsibility model, AWS is responsible for which of the following?",C,C,Service and Communications Protection or Zone Security,Configuring customer applications,Physical and Environmental controls,Patching guest OS,,,,,,,,,,
udemy,CLF-01,14,"Which of the following AWS Support plans provide access to guidance, configuration, and troubleshooting of AWS interoperability with third-party software? (Select two)",BC,BC,AWS Basic Support,AWS Business Support,AWS Enterprise Support,AWS Developer Support,AWS Corporate Support,,,,,,,,,
udemy,CLF-01,15,"A company runs an application on a fleet of EC2 instances. The company wants to automate the traditional maintenance job of running timely assessments and checking for OS vulnerabilities. As a Cloud Practitioner, which service will you suggest for this use case?",D,D,Amazon GuardDuty,Amazon Macie,AWS Shield,Amazon Inspector,,,,,,,,,,
udemy,CLF-01,16,"Under the AWS Shared Responsibility Model, which of the following is a shared responsibility of both AWS and the customer?",A,A,Configuration Management,Guarantee data separation among various AWS customers,Infrastructure maintenance of Amazon Simple Storage Service (Amazon S3) storage servers,Availability Zone (AZ) infrastructure maintenance,,,,,,,,,,
udemy,CLF-01,17,"A company uses reserved EC2 instances across multiple units with each unit having its own AWS account. However, some of the units under-utilize their reserved instances while other units need more reserved instances. As a Cloud Practitioner, which of the following would you recommend as the most cost-optimal solution?",C,C,Use AWS Systems Manager to manage AWS accounts of all units and then share the reserved EC2 instances amongst all units,Use AWS Cost Explorer to manage AWS accounts of all units and then share the reserved EC2 instances amongst all units,Use AWS Organizations to manage AWS accounts of all units and then share the reserved EC2 instances amongst all units,Use AWS Trusted Advisor to manage AWS accounts of all units and then share the reserved EC2 instances amongst all units,,,,,,,,,,
udemy,CLF-01,18,Which of the following are the advantages of cloud computing? (Select three),BCE,BCE,Allocate a few months of planning for your infrastructure capacity needs,Trade capital expense for variable expense,Go global in minutes and deploy applications in multiple regions around the world with just a few clicks,Trade variable expense for capital expense,Benefit from massive economies of scale,Spend money on building and maintaining data centers,,,,,,,,
udemy,CLF-01,19,A company wants to improve the resiliency of its flagship application so it wants to move from its traditional database system to a managed AWS database service to support active-active configuration in both the East and West US AWS regions. The active-active configuration with cross-region support is the prime criteria for any database solution that the company considers.Which AWS database service is the right fit for this requirement?,C,C,Amazon DynamoDB with DynamoDB Accelerator,Amazon Relational Database Service (Amazon RDS) for MYSQL,Amazon DynamoDB with global tables,Amazon Aurora with multi-master clusters,,,,,,,,,,
udemy,CLF-01,20,Which of the following are correct statements regarding the AWS Global Infrastructure? (Select two),BE,BE,Each Availability Zone (AZ) consists of two or more discrete data centers,Each AWS Region consists of a minimum of three Availability Zones (AZ),Each AWS Region consists of two or more Edge Locations,Each AWS Region consists of a minimum of two Availability Zones (AZ),Each Availability Zone (AZ) consists of one or more discrete data centers,,,,,,,,,
udemy,CLF-01,21,"An e-commerce company has deployed an RDS database in a single Availability Zone (AZ). The engineering team wants to ensure that in case of an AZ outage, the database should continue working on the same endpoint without any manual administrative intervention. Which of the following solutions can address this use-case?",C,C,Provision the database via AWS CloudFormation,Configure the database in RDS read replica mode with automatic failover to the standby,Configure the database in RDS Multi-AZ deployment with automatic failover to the standby,Deploy the database via AWS Elastic Beanstalk,,,,,,,,,,
udemy,CLF-01,22,Which AWS Route 53 routing policy would you use to route traffic to multiple resources and also choose how much traffic is routed to each resource?,D,D,Simple routing,latency-based routing,Failover routing,Weighted routing,,,,,,,,,,
