exam_category,exam_type,quiz_id,quiz_title,most_vote,correct,A,B,C,D,E,F,G,H,I
examtopics,CLF-01,491,"Which AWS service can be used to provide an on-demand, cloud-based contact center?",B,B,AWS Direct Connect,Amazon Connect,AWS Support Center,AWS Managed Services,,,,,
examtopics,CLF-01,492,What tool enables customers without an AWS account to estimate costs for almost all AWS services?,DB,A,Cost Explorer,TCO Calculator,AWS Budgets,Simple Monthly Calculator,,,,,
examtopics,CLF-01,493,Which component must be attached to a VPC to enable inbound Internet access?,D,C,NAT gateway,VPC endpoint,VPN connection,Internet gateway,,,,,
examtopics,CLF-01,494,Which pricing model would result in maximum Amazon Elastic Compute Cloud (Amazon EC2) savings for a database server that must be online for one year?,C,C,Spot Instance,On-Demand Instance,Partial Upfront Reserved Instance,No Upfront Reserved Instance,,,,,
examtopics,CLF-01,495,A company has a MySQL database running on a single Amazon EC2 instance. The company now requires higher availability in the event of an outage.Which set of tasks would meet this requirement?,C,C,Add an Application Load Balancer in front of the EC2 instance,Configure EC2 Auto Recovery to move the instance to another Availability Zone,Migrate to Amazon RDS and enable Multi-AZ,Enable termination protection for the EC2 instance to avoid outages,,,,,
examtopics,CLF-01,496,A company wants to ensure that AWS Management Console users are meeting password complexity requirements.How can the company configure password complexity?,CA,A,Using an AWS IAM user policy,Using an AWS Organizations service control policy (SCP),Using an AWS IAM account password policy,Using an AWS Security Hub managed insight,,,,,
examtopics,CLF-01,497,"Under the AWS shared responsibility model, which of the following is the customer's responsibility?",A,A,Patching guest OS and applications,Patching and fixing flaws in the infrastructure,Physical and environmental controls,Configuration of AWS infrastructure devices,,,,,
examtopics,CLF-01,498,Which of the following tasks is required to deploy a PCI-compliant workload on AWS?,D,D,Use any AWS service and implement PCI controls at the application layer,Use an AWS service that is in-scope for PCI compliance and raise an AWS support ticket to enable PCI compliance at the application layer,Use any AWS service and raise an AWS support ticket to enable PCI compliance on that service,Use an AWS service that is in scope for PCI compliance and apply PCI controls at the application layer,,,,,
examtopics,CLF-01,499,"A company is building an application that requires the ability to send, store, and receive messages between application components. The company has another requirement to process messages in first-in, first-out (FIFO) order.Which AWS service should the company use?",D,D,AWS Step Functions,Amazon Simple Notification Service (Amazon SNS),Amazon Kinesis Data Streams,Amazon Simple Queue Service (Amazon SQS),,,,,
examtopics,CLF-01,500,"AnyCompany recently purchased Example Corp. Both companies use AWS resources, and AnyCompany wants a single aggregated bill.Which option allows AnyCompany to receive a single bill?",C,D,Example Corp. must submit a request to its AWS solutions architect or AWS technical account manager to link the accounts and consolidate billing.,AnyCompany must create a new support case in the AWS Support Center requesting that both bills be combined.,Send an invitation to join the organization from AnyCompany's AWS Organizations master account to Example Corp.,"Migrate the Example Corp. VPCs, Amazon EC2 instances, and other resources into the AnyCompany AWS account.",,,,,
examtopics,CLF-01,501,Which tool can be used to create alerts when the actual or forecasted cost of AWS services exceeds a certain threshold?,B,B,Cost Explorer,AWS Budgets,AWS Cost and Usage Report,AWS CloudTrail,,,,,
examtopics,CLF-01,502,"A user has limited knowledge of AWS services, but wants to quickly deploy a scalable Node.js application in the AWS Cloud.Which service should be used to deploy the application?",B,B,AWS CloudFormation,AWS Elastic Beanstalk,Amazon EC2,AWS OpsWorks,,,,,
examtopics,CLF-01,503,Which AWS Trusted Advisor check is available to all AWS users?,ACB,C,Core checks,All checks,Cost optimization checks,Fault tolerance checks,,,,,
examtopics,CLF-01,504,A web developer is concerned that a DDoS attack could target an application.Which AWS services or features can help protect against such an attack? (Choose two.),AC,AB,AWS Shield,AWS CloudTrail,Amazon CloudFront,AWS Support Center,AWS Service Health Dashboard,,,,
examtopics,CLF-01,505,"Which AWS service gives users on-demand, self-service access to AWS compliance control reports?",D,D,AWS Config,Amazon GuardDuty,AWS Trusted Advisor,AWS Artifact,,,,,
examtopics,CLF-01,506,A company wants to provide one of its employees with access to Amazon RDS. The company also wants to limit the interaction to only the AWS CLI and AWS software development kits (SDKs).Which combination of actions should the company take to meet these requirements while following the principles of least privilege? (Choose two.),BE,BE,Create an IAM user and provide AWS Management Console access only.,Create an IAM user and provide programmatic access only.,Create an IAM role and provide AWS Management Console access only.,Create an IAM policy with administrator access and attach it to the IAM user.,Create an IAM policy with Amazon RDS access and attach it to the IAM user.,,,,
