exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,en_G,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,ko_G,subject,choice_count,ko_F
udemy,DVA-02,66,"A company selling smart security cameras uses an S3 bucket behind a CloudFront web distribution to store its static content, which it shares with customers worldwide. The company has recently released a new firmware update intended only for its premium customers, and unauthorized access should be denied with a user authentication process that has minimal latency.How can a developer refactor the current setup to achieve this requirement with the MOST efficient solution?",A,A,Use Lambda@Edge and Amazon Cognito to authenticate and authorize premium customers to download the firmware update.,Restrict access to the S3 bucket only to premium customers using an Origin Access Control (OAC).,Use Signed URLs and Signed Cookies in CloudFront to distribute the firmware update file.,Use the AWS Serverless Application Model (AWS SAM) and Amazon Cognito to authenticate the premium customers.,,,,"스마트 보안 카메라를 판매하는 회사는 CloudFront 웹 배포 뒤의 S3 버킷을 사용하여 전 세계 고객과 공유하는 정적 콘텐츠를 저장합니다. 회사는 최근 프리미엄 고객만을 대상으로 한 새로운 펌웨어 업데이트를 출시했으며, 대기 시간을 최소화하는 사용자 인증 프로세스를 통해 무단 액세스를 거부해야 합니다.개발자는 가장 효율적인 솔루션으로 이 요구 사항을 달성하기 위해 현재 설정을 어떻게 리팩터링할 수 있습니까?",Lambda@Edge 및 Amazon Cognito를 사용하여 프리미엄 고객이 펌웨어 업데이트를 다운로드하도록 인증하고 권한을 부여합니다.,OAC(Origin Access Control)를 사용하여 S3 버킷에 대한 액세스를 프리미엄 고객으로 제한합니다.,CloudFront에서 서명된 URL과 서명된 쿠키를 사용하여 펌웨어 업데이트 파일을 배포합니다.,AWS Serverless Application Model(AWS SAM)과 Amazon Cognito를 사용하여 프리미엄 고객을 인증합니다.,,,0,,
udemy,DVA-02,67,"A DynamoDB table has several top-level attributes such as id, course_id, course_title, price, rating and many others. The database queries of your application returns all of the item attributes by default but you only want to fetch specific attributes such as the course_id and price per request. As the developer, how can you refactor your application to accomplish this requirement?",B,B,Use filter expressions,Use projection expression,Use condition expressions,Use expression attribute names,,,,"idDynamoDB 테이블에는 , course_id, course_title, price및 기타 여러 가지 최상위 속성이 있습니다 rating. course_id애플리케이션의 데이터베이스 쿼리는 기본적으로 모든 항목 속성을 반환하지만 요청별로 및 같은 특정 속성만 가져오려고 합니다 price.개발자로서 이 요구 사항을 달성하기 위해 애플리케이션을 어떻게 리팩터링할 수 있습니까?",필터 표현식 사용,투영 표현 사용,조건 표현식 사용,표현식 속성 이름 사용,,,0,,
udemy,DVA-02,68,"Your application is processing one Kinesis data stream which has four shards, and each instance has one KCL worker. To scale up processing in your application, you reshard your stream to increase the number of open shards to six. What is the MAXIMUM number of EC2 instances that you should launch to achieve optimum performance?",D,D,3,5,12,6,,,,애플리케이션은 4개의 샤드가 있는 하나의 Kinesis 데이터 스트림을 처리하고 있으며 각 인스턴스에는 하나의 KCL 작업자가 있습니다. 애플리케이션에서 처리를 확장하려면 스트림을 다시 샤딩하여 열려 있는 샤드 수를 6개로 늘립니다.최적의 성능을 달성하려면 최대 몇 개의 EC2 인스턴스를 시작해야 합니까?,삼,5,12,6,,,0,,
udemy,DVA-02,69,"A web application is uploading large files, which are over 4 GB in size, in an S3 bucket called data.tutorialsdojo.com every 30 minutes. You want to minimize the time required to upload each file. Which of the following should you do to minimize upload time?",B,B,Enable Transfer Acceleration in the bucket.,Use the Multipart upload API.,Use the Putltem API.,Use the BatchWriteItem API.,,,,웹 애플리케이션은 30분마다 data.tutorialsdojo.com이라는 S3 버킷에 4GB가 넘는 대용량 파일을 업로드하고 있습니다. 각 파일을 업로드하는 데 필요한 시간을 최소화하려고 합니다.다음 중 업로드 시간을 최소화하려면 무엇을 해야 합니까?,버킷에서 Transfer Acceleration을 활성화합니다.,멀티파트 업로드 API를 사용하세요.,Putltem API를 사용하세요.,BatchWriteItem API를 사용합니다.,,,0,,
udemy,DVA-02,70,"A developer is moving a legacy web application from their on-premises data center to AWS. The application is used simultaneously by thousands of users, and their session states are stored in memory. The on-premises server usually reaches 100% CPU Utilization every time there is a surge in the number of people accessing the application.Which of the following is the best way to re-factor the performance and availability of the application's session management once it is migrated to AWS?",D,D,Use Sticky Sessions with Local Session Caching.,Use an ElastiCache for Memcached cluster to store the user session state of the application.,Store the user session state of the application using CloudFront.,Use an ElastiCache for Redis cluster to store the user session state of the application.,,,,개발자가 기존 웹 애플리케이션을 온프레미스 데이터 센터에서 AWS로 이동하고 있습니다. 수천 명의 사용자가 동시에 애플리케이션을 사용하고 해당 세션 상태는 메모리에 저장됩니다. 온프레미스 서버는 일반적으로 애플리케이션에 액세스하는 사람 수가 급증할 때마다 CPU 사용률 100%에 도달합니다.다음 중 AWS로 마이그레이션한 후 애플리케이션 세션 관리의 성능과 가용성을 리팩터링하는 가장 좋은 방법은 무엇입니까?,로컬 세션 캐싱과 함께 고정 세션을 사용합니다.,Memcached 클러스터용 ElastiCache를 사용하여 애플리케이션의 사용자 세션 상태를 저장합니다.,CloudFront를 사용하여 애플리케이션의 사용자 세션 상태를 저장합니다.,Redis용 ElastiCache 클러스터를 사용하여 애플리케이션의 사용자 세션 상태를 저장합니다.,,,0,,
udemy,DVA-02,71,"An application hosted in an Auto Scaling group of On-Demand EC2 instances is used to process data polled from an SQS queue and the generated output is stored in an S3 bucket. To improve security, you were tasked to ensure that all objects in the S3 bucket are encrypted at rest using server-side encryption with AWS KMS–Managed Keys (SSE-KMS). Which of the following is required to properly implement this requirement?",A,A,Add a bucket policy which denies any s3:PutObject action unless the request includes the x-amz-server-side-encryption header.,Add a bucket policy which denies any s3:PostObject action unless the request includes the x-amz-server-side-encryption header.,Add a bucket policy which denies any s3:PostObject action unless the request includes the x-amz-server-side-encryption-aws-kms-key-id header.,Add a bucket policy which denies any s3:PutObject action unless the request includes the x-amz-server-side-encryption-aws-kms-key-id header.,,,,온디맨드 EC2 인스턴스의 Auto Scaling 그룹에 호스팅된 애플리케이션은 SQS 대기열에서 폴링된 데이터를 처리하는 데 사용되며 생성된 출력은 S3 버킷에 저장됩니다. 보안을 강화하기 위해 SSE-KMS(AWS KMS 관리형 키)를 사용한 서버 측 암호화를 사용하여 S3 버킷의 모든 객체가 저장 상태에서 암호화되도록 해야 합니다.다음 중 이 요구 사항을 올바르게 구현하려면 어떤 것이 필요합니까?,s3:PutObject요청에 헤더가 포함되지 않는 한 모든 작업을 거부하는 버킷 정책을 추가합니다 x-amz-server-side-encryption.,s3:PostObject요청에 헤더가 포함되지 않는 한 모든 작업을 거부하는 버킷 정책을 추가합니다 x-amz-server-side-encryption.,s3:PostObject요청에 헤더가 포함되지 않는 한 모든 작업을 거부하는 버킷 정책을 추가합니다 x-amz-server-side-encryption-aws-kms-key-id.,s3:PutObject요청에 헤더가 포함되지 않는 한 모든 작업을 거부하는 버킷 정책을 추가합니다 x-amz-server-side-encryption-aws-kms-key-id.,,,0,,
udemy,DVA-02,72,"You are building a distributed system using KMS where you need to encrypt data at a later time. An API must be called that returns only the encrypted copy of the data key which you will use for encryption. After an hour, you will decrypt the data key by calling the Decrypt API then using the returned plaintext data key to finally encrypt the data. Which is the MOST suitable KMS API that the system should use to securely implement the requirements described above?",A,A,GenerateDataKeyWithoutPlaintext,GenerateDataKey,Encrypt,GenerateRandom,,,,나중에 데이터를 암호화해야 하는 KMS를 사용하여 분산 시스템을 구축하고 있습니다. 암호화에 사용할 데이터 키의 암호화된 복사본만 반환하는 API를 호출해야 합니다. 한 시간 후에 Decrypt API를 호출한 다음 반환된 일반 텍스트 데이터 키를 사용하여 최종적으로 데이터를 암호화함으로써 데이터 키를 해독합니다.위에 설명된 요구 사항을 안전하게 구현하기 위해 시스템이 사용해야 하는 가장 적합한 KMS API는 무엇입니까?,GenerateDataKeyWithoutPlaintext,GenerateDataKey,Encrypt,GenerateRandom,,,0,,
udemy,DVA-02,73,"The users of a social media website must be authenticated using social identity providers such as Twitter, Facebook, and Google. Users can login to the site which will allow them to upload their selfies, memes, and other media files in an S3 bucket. As an additional feature, you should also enable guest user access to certain sections of the website. Which of the following should you do to accomplish this task?",B,B,Integrate AWS Single Sign-On with your website.,Create an Identity Pool in Amazon Cognito and enable access to unauthenticated identities.,Create a User Pool in Amazon Cognito and enable access to unauthenticated identities.,Create a custom identity broker which integrates with the AWS Security Token Service and supports unauthenticated access.,,,,"소셜 미디어 웹사이트의 사용자는 Twitter, Facebook, Google과 같은 소셜 ID 공급자를 통해 인증을 받아야 합니다. 사용자는 사이트에 로그인하여 셀카, 밈 및 기타 미디어 파일을 S3 버킷에 업로드할 수 있습니다. 추가 기능으로 웹 사이트의 특정 섹션에 대한 게스트 사용자 액세스도 활성화해야 합니다.이 작업을 수행하려면 다음 중 무엇을 해야 합니까?",AWS Single Sign-On을 웹 사이트와 통합하세요.,Amazon Cognito에서 자격 증명 풀을 생성하고 인증되지 않은 자격 증명에 대한 액세스를 활성화합니다.,Amazon Cognito에서 사용자 풀을 생성하고 인증되지 않은 자격 증명에 대한 액세스를 활성화합니다.,AWS Security Token Service와 통합되고 인증되지 않은 액세스를 지원하는 사용자 지정 자격 증명 브로커를 생성합니다.,,,0,,
udemy,DVA-02,74,"A developer has deployed a Lambda function that runs in DEV, UAT, and PROD environments. The function uses different parameters that varies based on the environment it is running in. The parameters are currently hardcoded in the function.Which action should the developer do to reference the appropriate parameters without modifying the code every time the environment changes?",D,D,"Publish three versions of the Lambda function. Assign the aliases DEV, UAT, and PROD to each version.",Create individual Lambda Layers for each environment,Create a stage variable called ENV and invoke the Lambda function by its alias name.,Use environment variables to set the parameters per environment.,,,,"개발자가 DEV, UAT 및 PROD 환경에서 실행되는 Lambda 함수를 배포했습니다. 이 함수는 실행 중인 환경에 따라 달라지는 다양한 매개변수를 사용합니다. 매개변수는 현재 함수에 하드코딩되어 있습니다.환경이 바뀔 때마다 코드를 수정하지 않고 적절한 매개변수를 참조하려면 개발자는 어떤 조치를 취해야 할까요?","세 가지 버전의 Lambda 함수를 게시합니다. DEV, UAT 및 PROD 별칭을 각 버전에 할당합니다.",각 환경에 대한 개별 Lambda 레이어 생성,라는 단계 변수를 생성 ENV하고 별칭 이름으로 Lambda 함수를 호출합니다.,환경 변수를 사용하여 환경별로 매개변수를 설정합니다.,,,0,,
udemy,DVA-02,75,An application performs various workflows and processes long-running tasks that take a long time to complete. The users are complaining that the application is unresponsive since the workflow substantially increased the time it takes to complete a user request. Which of the following is the BEST way to improve the performance of the application?,B,B,Use a multicontainer docker environment in Elastic Beanstalk to process the long-running tasks asynchronously.,Use an Elastic Beanstalk worker environment to process the tasks asynchronously.,Use an Amazon ECS Cluster with a Fargate launch type to process the tasks asynchronously.,Spawn a worker process locally in the EC2 instances and process the tasks asynchronously.,,,,애플리케이션은 다양한 워크플로를 수행하고 완료하는 데 오랜 시간이 걸리는 장기 실행 작업을 처리합니다. 워크플로우로 인해 사용자 요청을 완료하는 데 걸리는 시간이 크게 늘어났기 때문에 사용자는 애플리케이션이 응답하지 않는다고 불평하고 있습니다.다음 중 애플리케이션 성능을 향상시키는 가장 좋은 방법은 무엇입니까?,Elastic Beanstalk의 멀티컨테이너 Docker 환경을 사용하여 장기 실행 작업을 비동기식으로 처리하세요.,Elastic Beanstalk 작업자 환경을 사용하여 작업을 비동기식으로 처리합니다.,Fargate 시작 유형과 함께 Amazon ECS 클러스터를 사용하여 작업을 비동기식으로 처리합니다.,EC2 인스턴스에서 로컬로 작업자 프로세스를 생성하고 작업을 비동기식으로 처리합니다.,,,0,,
