exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,en_G,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,ko_G,subject,choice_count,ko_F
udemy,CLF-01,1,A company is using a combination of API Gateway and Lambda for the web services of the online web portal that is being accessed by hundreds of thousands of clients each day. They will be announcing a new revolutionary product and it is expected that the web portal will receive a massive number of visitors all around the globe.How can you protect the backend systems and applications from traffic spikes?,B,B,Deploy Multi-AZ in API Gateway with Read Replica,Use throttling limits in API Gateway,Manually upgrade the EC2 instances being used by API Gateway,API Gateway will automatically scale and handle massive traffic spikes so you do not have to do anything.,,,,한 회사에서 매일 수십만 명의 클라이언트가 액세스하는 온라인 웹 포털의 웹 서비스를 위해 API 게이트웨이와 Lambda의 조합을 사용하고 있습니다. 그들은 새롭고 혁신적인 제품을 발표할 예정이며 웹 포털은 전 세계적으로 엄청난 수의 방문자를 받을 것으로 예상됩니다.트래픽 급증으로부터 백엔드 시스템과 애플리케이션을 어떻게 보호할 수 있습니까?,읽기 전용 복제본으로 API Gateway에 다중 AZ 배포,API Gateway에서 제한 제한 사용,API Gateway에서 사용 중인 EC2 인스턴스를 수동으로 업그레이드,API Gateway는 대규모 트래픽 급증을 자동으로 확장하고 처리하므로 아무 것도 할 필요가 없습니다.,,,0,,
udemy,CLF-01,2,"A company collects atmospheric data such as temperature, air pressure, and humidity from different countries. Each site location is equipped with various weather instruments and a high-speed Internet connection. The average collected data in each location is around 500 GB and will be analyzed by a weather forecasting application hosted in Northern Virginia. As the Solutions Architect, you need to aggregate all the data in the fastest way.Which of the following options can satisfy the given requirement?",A,A,Enable Transfer Acceleration in the destination bucket and upload the collected data using Multipart Upload.,Set up a Site-to-Site VPN connection.,Upload the data to the closest S3 bucket. Set up a cross-region replication and copy the objects to the destination bucket.,Use AWS Snowball Edge to transfer large amounts of data.,,,,"한 회사가 여러 국가에서 온도, 기압 및 습도와 같은 대기 데이터를 수집합니다. 각 사이트 위치에는 다양한 기상 장비와 고속 인터넷 연결이 장착되어 있습니다. 각 위치에서 수집된 평균 데이터는 약 500GB이며 북부 버지니아에서 호스팅되는 일기 예보 애플리케이션에서 분석됩니다. 솔루션 설계자는 모든 데이터를 가장 빠른 방법으로 집계해야 합니다.다음 옵션 중 주어진 요구 사항을 충족할 수 있는 옵션은 무엇입니까?",대상 버킷에서 Transfer Acceleration을 활성화하고 수집된 데이터를 멀티파트 업로드를 사용하여 업로드합니다.,사이트 간 VPN 연결을 설정합니다.,가장 가까운 S3 버킷에 데이터를 업로드합니다. 지역 간 복제를 설정하고 개체를 대상 버킷에 복사합니다.,AWS Snowball Edge를 사용하여 대량의 데이터를 전송하십시오.,,,0,,
udemy,CLF-01,3,A Solutions Architect needs to make sure that the On-Demand EC2 instance can only be accessed from this IP address (110.238.98.71) via an SSH connection. Which configuration below will satisfy this requirement?,D,D,"Security Group Outbound Rule: Protocol – UDP, Port Range – 22, Destination 0.0.0.0/0","Security Group Inbound Rule: Protocol – UDP, Port Range – 22, Source 110.238.98.71/32","Security Group Outbound Rule: Protocol – TCP, Port Range – 22, Destination 110.238.98.71/32","Security Group Inbound Rule: Protocol – TCP. Port Range – 22, Source 110.238.98.71/32",,,,Solutions Architect는 SSH 연결을 통해서만 이 IP 주소(110.238.98.71)에서만 온디맨드 EC2 인스턴스에 액세스할 수 있는지 확인해야 합니다. 아래에서 이 요구 사항을 충족하는 구성은 무엇입니까?,"보안 그룹 아웃바운드 규칙: 프로토콜 – UDP, 포트 범위 – 22, 대상 0.0.0.0/0","보안 그룹 인바운드 규칙: 프로토콜 – UDP, 포트 범위 – 22, 소스 110.238.98.71/32","보안 그룹 아웃바운드 규칙: 프로토콜 – TCP, 포트 범위 – 22, 대상 110.238.98.71/32","보안 그룹 인바운드 규칙: 프로토콜 – TCP. 포트 범위 – 22, 소스 110.238.98.71/32",,,0,,
udemy,CLF-01,4,"A company uses an Application Load Balancer (ALB) for its public-facing multi-tier web applications. The security team has recently reported that there has been a surge of SQL injection attacks lately, which causes critical data discrepancy issues. The same issue is also encountered by its other web applications in other AWS accounts that are behind an ALB. An immediate solution is required to prevent the remote injection of unauthorized SQL queries and protect their applications hosted across multiple accounts.As a Solutions Architect, what solution would you recommend?",B,B,Use Amazon Macie to scan for vulnerabilities and unintended network exposure. Refactor the web application to be less susceptible to SQL injection attacks based on the security assessment. Utilize the AWS Audit Manager to reuse the security assessment across all AWS accounts.,"Use AWS WAF and set up a managed rule to block request patterns associated with the exploitation of SQL databases, like SQL injection attacks. Associate it with the Application Load Balancer. Integrate AWS WAF with AWS Firewall Manager to reuse the rules across all the AWS accounts.",Use AWS Network Firewall to filter web vulnerabilities and brute force attacks using stateful rule groups across all Application Load Balancers on all AWS accounts. Refactor the web application to be less susceptible to SQL injection attacks based on the security assessment.,"Use Amazon GuardDuty and set up a managed rule to block request patterns associated with the exploitation of SQL databases, like SQL injection attacks. Associate it with the Application Load Balancer and utilize the AWS Security Hub service to reuse the managed rules across all the AWS accounts",,,,회사는 공용 다중 계층 웹 애플리케이션에 ALB(Application Load Balancer)를 사용합니다. 보안팀은 최근 SQL 주입 공격이 급증하여 중요한 데이터 불일치 문제가 발생했다고 보고했습니다. ALB 뒤에 있는 다른 AWS 계정의 다른 웹 애플리케이션에서도 동일한 문제가 발생합니다. 무단 SQL 쿼리의 원격 주입을 방지하고 여러 계정에서 호스팅되는 애플리케이션을 보호하려면 즉각적인 솔루션이 필요합니다.솔루션 아키텍트로서 어떤 솔루션을 추천하시겠습니까?,Amazon Macie를 사용하여 취약성 및 의도하지 않은 네트워크 노출을 스캔합니다. 보안 평가를 기반으로 SQL 삽입 공격에 덜 취약하도록 웹 애플리케이션을 리팩터링합니다. AWS Audit Manager를 활용하여 모든 AWS 계정에서 보안 평가를 재사용합니다.,AWS WAF를 사용하고 관리형 규칙을 설정하여 SQL 주입 공격과 같은 SQL 데이터베이스 악용과 관련된 요청 패턴을 차단합니다. Application Load Balancer와 연결합니다. AWS WAF를 AWS Firewall Manager와 통합하여 모든 AWS 계정에서 규칙을 재사용합니다.,AWS Network Firewall을 사용하여 모든 AWS 계정의 모든 Application Load Balancer에서 상태 저장 규칙 그룹을 사용하여 웹 취약성과 무차별 암호 대입 공격을 필터링합니다. 보안 평가를 기반으로 SQL 삽입 공격에 덜 취약하도록 웹 애플리케이션을 리팩터링합니다.,Amazon GuardDuty를 사용하고 관리형 규칙을 설정하여 SQL 주입 공격과 같은 SQL 데이터베이스 악용과 관련된 요청 패턴을 차단합니다. 이를 Application Load Balancer와 연결하고 AWS Security Hub 서비스를 활용하여 모든 AWS 계정에서 관리형 규칙을 재사용합니다.,,,0,,
udemy,CLF-01,5,"There was an incident in your production environment where the user data stored in the S3 bucket has been accidentally deleted by one of the Junior DevOps Engineers. The issue was escalated to your manager and after a few days, you were instructed to improve the security and protection of your AWS resources.    What combination of the following options will protect the S3 objects in your bucket from both accidental deletion and overwriting? (Select TWO.)",CE,CE,Provide access to S3 data strictly through pre-signed URL only,Enable Amazon S3 Intelligent-Tiering,Enable Versioning,Disallow S3 Delete using an IAM bucket policy,Enable Multi-Factor Authentication Delete,,,프로덕션 환경에서 주니어 DevOps 엔지니어 중 한 명이 실수로 S3 버킷에 저장된 사용자 데이터를 삭제한 사고가 발생했습니다. 이 문제는 관리자에게 에스컬레이션되었으며 며칠 후 AWS 리소스의 보안 및 보호를 개선하라는 지시를 받았습니다.    버킷의 S3 객체를 우발적인 삭제 및 덮어쓰기로부터 보호하는 다음 옵션의 조합은 무엇입니까? (2개를 선택하세요.),사전 서명된 URL을 통해서만 S3 데이터에 대한 액세스를 엄격하게 제공합니다.,Amazon S3 Intelligent-Tiering 활성화,버전 관리 활성화,IAM 버킷 정책을 사용하여 S3 삭제를 허용하지 않음,다단계 인증 삭제 활성화,,0,,
udemy,CLF-01,6,"A company conducted a surprise IT audit on all of the AWS resources being used in the production environment. During the audit activities, it was noted that you are using a combination of Standard and Convertible Reserved EC2 instances in your applications.Which of the following are the characteristics and benefits of using these two types of Reserved EC2 instances? (Select TWO.)",AB,AB,Unused Standard Reserved Instances can later be sold at the Reserved Instance Marketplace.,Convertible Reserved Instances allow you to exchange for another convertible reserved instance of a different instance family.,It runs in a VPC on hardware that's dedicated to a single customer.,It can enable you to reserve capacity for your Amazon EC2 instances in multiple Availability Zones and multiple AWS Regions for any duration.,Unused Convertible Reserved Instances can later be sold at the Reserved Instance Marketplace.,,,한 회사가 프로덕션 환경에서 사용 중인 모든 AWS 리소스에 대해 기습 IT 감사를 실시했습니다. 감사 활동 중에 애플리케이션에서 표준 및 전환형 예약 EC2 인스턴스의 조합을 사용하고 있다는 사실이 확인되었습니다.다음 중 이 두 가지 유형의 예약 EC2 인스턴스를 사용할 때의 특징과 이점은 무엇입니까? (2개를 선택하세요.),미사용 표준 예약 인스턴스는 나중에 예약 인스턴스 마켓플레이스에서 판매할 수 있습니다.,전환형 예약 인스턴스를 사용하면 다른 인스턴스 패밀리의 다른 전환형 예약 인스턴스로 교환할 수 있습니다.,단일 고객 전용 하드웨어의 VPC에서 실행됩니다.,기간에 관계없이 여러 가용 영역과 여러 AWS 리전에서 Amazon EC2 인스턴스의 용량을 예약할 수 있습니다.,사용하지 않은 전환형 예약 인스턴스는 나중에 예약 인스턴스 마켓플레이스에서 판매할 수 있습니다.,,0,,
udemy,CLF-01,7,"A Docker application, which is running on an Amazon ECS cluster behind a load balancer, is heavily using DynamoDB. You are instructed to improve the database performance by distributing the workload evenly and using the provisioned throughput efficiently.    Which of the following would you consider to implement for your DynamoDB table?",A,A,"Use partition keys with high-cardinality attributes, which have a large number of distinct values for each item.","Avoid using a composite primary key, which is composed of a partition key and a sort key.","Use partition keys with low-cardinality attributes, which have a few number of distinct values for each item.",Reduce the number of partition keys in the DynamoDB table.,,,,로드 밸런서 뒤의 Amazon ECS 클러스터에서 실행 중인 Docker 애플리케이션은 DynamoDB를 많이 사용하고 있습니다. 워크로드를 고르게 분산하고 프로비저닝된 처리량을 효율적으로 사용하여 데이터베이스 성능을 개선하라는 지시를 받았습니다.    다음 중 DynamoDB 테이블에 대해 구현할 것을 고려하는 것은 무엇입니까?,각 항목에 대해 고유한 값이 많은 높은 카디널리티 속성이 있는 파티션 키를 사용합니다.,파티션 키와 정렬 키로 구성된 복합 기본 키를 사용하지 마십시오.,각 항목에 대해 몇 가지 고유 값이 있는 낮은 카디널리티 속성이 있는 파티션 키를 사용합니다.,DynamoDB 테이블의 파티션 키 수를 줄입니다.,,,0,,
udemy,CLF-01,8,"A pharmaceutical company has resources hosted on both their on-premises network and in AWS cloud. They want all of their Software Architects to access resources on both environments using their on-premises credentials, which is stored in Active Directory. In this scenario, which of the following can be used to fulfill this requirement?",D,D,Set up SAML 2.0-Based Federation by using a Web Identity Federation.,Use IAM users,Use Amazon VPC,Set up SAML 2.0-Based Federation by using a Microsoft Active Directory Federation Service (AD FS).,,,,제약 회사는 온프레미스 네트워크와 AWS 클라우드 모두에서 리소스를 호스팅하고 있습니다. 그들은 모든 소프트웨어 설계자가 Active Directory에 저장된 온프레미스 자격 증명을 사용하여 두 환경의 리소스에 액세스하기를 원합니다.이 시나리오에서 다음 중 이 요구 사항을 충족하는 데 사용할 수 있는 것은 무엇입니까?,웹 ID 페더레이션을 사용하여 SAML 2.0 기반 페더레이션을 설정합니다.,IAM 사용자 사용,아마존 VPC 사용,Microsoft AD FS(Active Directory Federation Service)를 사용하여 SAML 2.0 기반 페더레이션을 설정합니다.,,,0,,
udemy,CLF-01,9,A payment processing company plans to migrate its on-premises application to an Amazon EC2 instance. An IPv6 CIDR block is attached to the company’s Amazon VPC. Strict security policy mandates that the production VPC must only allow outbound communication over IPv6 between the instance and the internet but should prevent the internet from initiating an inbound IPv6 connection. The new architecture should also allow traffic flow inspection and traffic filtering.What should a solutions architect do to meet these requirements?,A,A,Launch the EC2 instance to a private subnet and attach an Egress-Only Internet Gateway to the VPC to allow outbound IPv6 communication to the internet. Use AWS Network Firewall to set up the required rules for traffic inspection and traffic filtering.,Launch the EC2 instance to a private subnet and attach a NAT Gateway to the VPC to allow outbound IPv6 communication to the internet. Use AWS Firewall Manager to set up the required rules for traffic inspection and traffic filtering.,Launch the EC2 instance to a public subnet and attach an Internet Gateway to the VPC to allow outbound IPv6 communication to the internet. Use Traffic Mirroring to set up the required rules for traffic inspection and traffic filtering.,Launch the EC2 instance to a private subnet and attach AWS PrivateLink interface endpoint to the VPC to control outbound IPv6 communication to the internet. Use Amazon GuardDuty to set up the required rules for traffic inspection and traffic filtering.,,,,결제 처리 회사는 온프레미스 애플리케이션을 Amazon EC2 인스턴스로 마이그레이션할 계획입니다. IPv6 CIDR 블록은 회사의 Amazon VPC에 연결됩니다. 엄격한 보안 정책에 따르면 프로덕션 VPC는 ​​인스턴스와 인터넷 간에 IPv6를 통한 아웃바운드 통신만 허용해야 하지만 인터넷이 인바운드 IPv6 연결을 시작하는 것은 방지해야 합니다. 새로운 아키텍처는 또한 트래픽 흐름 검사 및 트래픽 필터링을 허용해야 합니다.솔루션 설계자는 이러한 요구 사항을 충족하기 위해 무엇을 해야 합니까?,EC2 인스턴스를 프라이빗 서브넷으로 시작하고 외부 전용 인터넷 게이트웨이를 VPC에 연결하여 인터넷에 대한 아웃바운드 IPv6 통신을 허용합니다. AWS Network Firewall을 사용하여 트래픽 검사 및 트래픽 필터링에 필요한 규칙을 설정합니다.,EC2 인스턴스를 프라이빗 서브넷으로 시작하고 NAT 게이트웨이를 VPC에 연결하여 인터넷에 대한 아웃바운드 IPv6 통신을 허용합니다. AWS Firewall Manager를 사용하여 트래픽 검사 및 트래픽 필터링에 필요한 규칙을 설정합니다.,EC2 인스턴스를 퍼블릭 서브넷으로 시작하고 인터넷 게이트웨이를 VPC에 연결하여 인터넷에 대한 아웃바운드 IPv6 통신을 허용합니다. 트래픽 미러링을 사용하여 트래픽 검사 및 트래픽 필터링에 필요한 규칙을 설정합니다.,EC2 인스턴스를 프라이빗 서브넷으로 시작하고 AWS PrivateLink 인터페이스 엔드포인트를 VPC에 연결하여 인터넷에 대한 아웃바운드 IPv6 통신을 제어합니다. Amazon GuardDuty를 사용하여 트래픽 검사 및 트래픽 필터링에 필요한 규칙을 설정합니다.,,,0,,
udemy,CLF-01,10,A popular social network is hosted in AWS and is using a DynamoDB table as its database. There is a requirement to implement a 'follow' feature where users can subscribe to certain updates made by a particular user and be notified via email. Which of the following is the most suitable solution that you should implement to meet the requirement?,C,C,"Using the Kinesis Client Library (KCL), write an application that leverages on DynamoDB Streams Kinesis Adapter that will fetch data from the DynamoDB Streams endpoint. When there are updates made by a particular user, notify the subscribers via email using SNS.","Set up a DAX cluster to access the source DynamoDB table. Create a new DynamoDB trigger and a Lambda function. For every update made in the user data, the trigger will send data to the Lambda function which will then notify the subscribers via email using SNS.","Enable DynamoDB Stream and create an AWS Lambda trigger, as well as the IAM role which contains all of the permissions that the Lambda function will need at runtime. The data from the stream record will be processed by the Lambda function which will then publish a message to SNS Topic that will notify the subscribers via email.",Create a Lambda function that uses DynamoDB Streams Kinesis Adapter which will fetch data from the DynamoDB Streams endpoint. Set up an SNS Topic that will notify the subscribers via email when there is an update made by a particular user.,,,,널리 사용되는 소셜 네트워크는 AWS에서 호스팅되며 DynamoDB 테이블을 데이터베이스로 사용하고 있습니다. 사용자가 특정 사용자가 만든 특정 업데이트를 구독하고 이메일을 통해 알림을 받을 수 있는 '팔로우' 기능을 구현하기 위한 요구 사항이 있습니다. 다음 중 요구 사항을 충족하기 위해 구현해야 하는 가장 적합한 솔루션은 무엇입니까?,Kinesis 클라이언트 라이브러리(KCL)를 사용하여 DynamoDB 스트림 엔드포인트에서 데이터를 가져오는 DynamoDB 스트림 Kinesis 어댑터를 활용하는 애플리케이션을 작성합니다. 특정 사용자의 업데이트가 있는 경우 SNS를 사용하여 이메일을 통해 구독자에게 알립니다.,원본 DynamoDB 테이블에 액세스하도록 DAX 클러스터를 설정합니다. 새 DynamoDB 트리거와 Lambda 함수를 생성합니다. 사용자 데이터가 업데이트될 때마다 트리거는 데이터를 Lambda 함수로 전송한 다음 SNS를 사용하여 이메일을 통해 구독자에게 알립니다.,DynamoDB 스트림을 활성화하고 AWS Lambda 트리거와 Lambda 함수가 런타임에 필요한 모든 권한을 포함하는 IAM 역할을 생성합니다. 스트림 레코드의 데이터는 Lambda 함수에 의해 처리된 후 이메일을 통해 구독자에게 알리는 SNS 주제에 메시지를 게시합니다.,DynamoDB 스트림 엔드포인트에서 데이터를 가져오는 DynamoDB 스트림 Kinesis 어댑터를 사용하는 Lambda 함수를 생성합니다. 특정 사용자의 업데이트가 있을 때 이메일을 통해 구독자에게 알리는 SNS 주제를 설정합니다.,,,0,,
